correct,false_negative,false_positive,max_probe_bytes,mean_decision_byte,mean_oracle_regret_bpb,min_projected_gain_bits,persistence_observations,recent_gain_bits,recent_window
11,1,2,64,36.5,0.008527483258928572,0,4,2,32
11,1,2,64,36.5,0.008527483258928572,32,4,2,32
11,1,2,64,36.5,0.008527483258928572,64,4,2,32
11,2,1,64,20.142857142857142,0.032871791294642856,128,4,2,32
7,7,0,64,0,0.08292061941964286,256,4,2,32
11,1,2,64,36.5,0.008527483258928572,0,4,3,32
11,1,2,64,36.5,0.008527483258928572,32,4,3,32
11,1,2,64,36.5,0.008527483258928572,64,4,3,32
11,1,2,64,36.5,0.008527483258928572,128,4,3,32
11,2,1,64,20.142857142857142,0.032871791294642856,256,4,3,32
11,1,2,64,36.5,0.008527483258928572,0,4,4,32
11,1,2,64,36.5,0.008527483258928572,32,4,4,32
11,1,2,64,36.5,0.008527483258928572,64,4,4,32
11,1,2,64,36.5,0.008527483258928572,128,4,4,32
11,2,1,64,20.142857142857142,0.032871791294642856,256,4,4,32
11,1,2,64,38.785714285714285,0.008527483258928572,0,8,1,32
11,1,2,64,38.785714285714285,0.008527483258928572,32,8,1,32
11,2,1,64,21.857142857142858,0.032871791294642856,64,8,1,32
7,7,0,64,0,0.08292061941964286,128,8,1,32
7,7,0,64,0,0.08292061941964286,256,8,1,32
11,1,2,64,38.785714285714285,0.008527483258928572,0,8,2,32
11,1,2,64,38.785714285714285,0.008527483258928572,32,8,2,32
11,1,2,64,38.785714285714285,0.008527483258928572,64,8,2,32
11,2,1,64,21.857142857142858,0.032871791294642856,128,8,2,32
7,7,0,64,0,0.08292061941964286,256,8,2,32
11,1,2,64,38.785714285714285,0.008527483258928572,0,8,3,32
11,1,2,64,38.785714285714285,0.008527483258928572,32,8,3,32
11,1,2,64,38.785714285714285,0.008527483258928572,64,8,3,32
11,1,2,64,38.785714285714285,0.008527483258928572,128,8,3,32
11,2,1,64,21.857142857142858,0.032871791294642856,256,8,3,32
11,1,2,64,38.785714285714285,0.008527483258928572,0,8,4,32
11,1,2,64,38.785714285714285,0.008527483258928572,32,8,4,32
11,1,2,64,38.785714285714285,0.008527483258928572,64,8,4,32
11,1,2,64,38.785714285714285,0.008527483258928572,128,8,4,32
11,2,1,64,21.857142857142858,0.032871791294642856,256,8,4,32
10,1,3,96,28.357142857142858,0.008527483258928572,0,2,1,4
10,1,3,96,28.357142857142858,0.008527483258928572,32,2,1,4
10,1,3,96,28.357142857142858,0.008527483258928572,64,2,1,4
10,1,3,96,28.357142857142858,0.008527483258928572,128,2,1,4
10,1,3,96,28.357142857142858,0.008527483258928572,256,2,1,4
10,1,3,96,28.357142857142858,0.008527483258928572,0,2,2,4
10,1,3,96,28.357142857142858,0.008527483258928572,32,2,2,4
10,1,3,96,28.357142857142858,0.008527483258928572,64,2,2,4
10,1,3,96,28.357142857142858,0.008527483258928572,128,2,2,4
10,1,3,96,28.357142857142858,0.008527483258928572,256,2,2,4
10,1,3,96,28.357142857142858,0.008527483258928572,0,2,3,4
10,1,3,96,28.357142857142858,0.008527483258928572,32,2,3,4
10,1,3,96,28.357142857142858,0.008527483258928572,64,2,3,4
10,1,3,96,28.357142857142858,0.008527483258928572,128,2,3,4
10,1,3,96,28.357142857142858,0.008527483258928572,256,2,3,4
10,1,3,96,28.357142857142858,0.008527483258928572,0,2,4,4
10,1,3,96,28.357142857142858,0.008527483258928572,32,2,4,4
10,1,3,96,28.357142857142858,0.008527483258928572,64,2,4,4
10,1,3,96,28.357142857142858,0.008527483258928572,128,2,4,4
10,1,3,96,28.357142857142858,0.008527483258928572,256,2,4,4
10,1,3,96,31.357142857142858,0.008527483258928572,0,4,1,4
10,1,3,96,31.357142857142858,0.008527483258928572,32,4,1,4
10,1,3,96,31.357142857142858,0.008527483258928572,64,4,1,4
10,1,3,96,31.357142857142858,0.008527483258928572,128,4,1,4
10,1,3,96,31.357142857142858,0.008527483258928572,256,4,1,4
10,1,3,96,31.357142857142858,0.008527483258928572,0,4,2,4
10,1,3,96,31.357142857142858,0.008527483258928572,32,4,2,4
10,1,3,96,31.357142857142858,0.008527483258928572,64,4,2,4
10,1,3,96,31.357142857142858,0.008527483258928572,128,4,2,4
10,1,3,96,31.357142857142858,0.008527483258928572,256,4,2,4
10,1,3,96,31.428571428571427,0.008527483258928572,0,4,3,4
10,1,3,96,31.428571428571427,0.008527483258928572,32,4,3,4
10,1,3,96,31.428571428571427,0.008527483258928572,64,4,3,4
10,1,3,96,31.428571428571427,0.008527483258928572,128,4,3,4
10,1,3,96,31.428571428571427,0.008527483258928572,256,4,3,4
10,1,3,96,31.5,0.008527483258928572,0,4,4,4
10,1,3,96,31.5,0.008527483258928572,32,4,4,4
10,1,3,96,31.5,0.008527483258928572,64,4,4,4
10,1,3,96,31.5,0.008527483258928572,128,4,4,4
10,1,3,96,31.5,0.008527483258928572,256,4,4,4
11,1,2,96,36.642857142857146,0.008527483258928572,0,8,1,4
11,1,2,96,36.642857142857146,0.008527483258928572,32,8,1,4
11,1,2,96,36.642857142857146,0.008527483258928572,64,8,1,4
